name,clalit,clalit_treatments,harel,harel_treatments
שמעון דסקלו,,,True,"גניקולוגיה
"
קוטלר דניאל,True,"פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
",,
אהרוני אריאל,True,"לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
רחם - כריתה בלפרסקופ(שיטת SUB)
שלפוחית - T.V.T + פלסטיקה - בחתך
רחם - כ. נרתיקית + פלסטיקה + TVT
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
וסטיבולקטומי - תיקון
לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
רחם - כריתה בטנית
",True,"גניקולוגיה
גניקולוגיה
"
דאוד גורג,True,"בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בלפרוסקופ
טחורים/פילונידל סינוס + פרי אנאל
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
",,
ספיבק הדר,True,"בטן - פתיחה חוקרת
",,
יניב יונה,True,"יד - דופיטרן מורכב
כף יד - גידים:שתילה/העברה/תפרים
מרפק/מפרק - שחרור לחץ על עצבים
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף יד/רגל/ברך - הסרת גידול שפיר
כף יד/רגל - סינבוקטומיה + שחזור
כף יד/רגל - שחזור/קבוע בורג/שתיל
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
",,
סגל ברק,True,"ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
ברך ארטרוסקופיה טיפולי/אבחנתי
ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
ברך ארטרוסקופיה טיפולי/אבחנתי
",,
רובין משה,True,"קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע מפשעתי בלאפ' חד צדדי/דו""צ
תוספתן - אפנדציט - לפרוסקופ
כיס מרה - כריתה בלפרוסקופ
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
מפשעה - כריתת גוש
",True,"כירורגיה   כללית
"
עופר רק,,,True,"אורתופדיה
"
גרטי אברהם,True,"כתף - החלפה חלקית של המפרק
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
קיבוע - הסרה
מרפק טניס
מפרק ברך/ירך - השתלה מלאה
כף יד - שחרור תעלה קרפלית CTS
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
מרפק טניס
מפרק ברך/ירך - השתלה מלאה
כתף - ארט' - הדבקות,קרעים,סינבוקטו
כתף - ארט' ניתוחי - סובאקרומיאלי
כתף - ארט' ניתוחי + כריתה של המפרק
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון שבר סגור בראש הזרוע
כתף - החלפת מפרק
כף יד - שחרור תעלה + אצבע הדק
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון שבר סגור בראש הזרוע
כתף - החלפת מפרק
כף יד - שחרור תעלה + אצבע הדק
הוצאת ברגים/מסמרים
כתף - תיקון שבר פתוח בראש הזרוע
ברך - ארטרוסקופיה באשפוז לילה
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
ברך ארטרוסקופיה טיפולי/אבחנתי
מרפק טניס
",,
קירשטיין בוריס,True,"פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
בקע טבורי - ניתוח בחתך
הזעת יתר - ניתוח
שד - כריתה חלקית
בקע טבורי - לפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
טחורים - ניתוח
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע מפשעתי בלאפ + טבורי בחתך
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
מיני מעקף קיבה
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
הזעת יתר - ניתוח
שד - כריתה חלקית
בקע טבורי - לפרוסקופ
",True,"כירורגיה   כללית
"
מטאנס עיסא,True,"שד - שחזור (שתל סיליקון)
שד - שיחזור פיטמה ועטרה
שדיים - שחזור דו צדדי
שד 1 - התאמת גודל עקב מצב רפואי
שדיים - התאמת גודל עקב מצב רפואי
",,
דננברג חיים,True,"צנתור טיפולי
צנתור טיפולי
",,
יעקב חנני,,,True,"אורולוגיה
"
אמנון ישראלי,,,True,"אורתופדיה
"
אבני יונה,True,"קולונוסקופיה
גאסטרוסקופיה
גסטרו / קולונוסקופיה + ביופסיה
קולונוסקופיה
גאסטרוסקופיה
גסטרו / קולונוסקופיה + ביופסיה
",,
נחום רוזן,,,True,"עיניים
"
בוטנרו עדי,True,"צנתור אבחוני
",,
סידי עמי אברהם,True,"בקע - הרניה מפשעתי בחתך / חוזר
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
שלפוחית - אי נקיטה בשיטת T.V.T
שופכה - חיתוך
אשכים - תיקון הידרוצלה
כריתת אשכ / ים - כריתה
",,
רוב רונן,True,"ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
",True,"אורולוגיה
אורולוגיה
"
ונגרובר דב,True,"גאסטרוסקופיה
דרכי מרה - ERCP פפילוטומי/אבנים
",True,"דרכי עיכול(גסטרואנטריולוגיה)
"
אריה מרקוביץ,,,True,"עיניים
"
פישמן גדי,True,"צוואר - הוצאת ציסטה
שקד שלישי + כפתורים - כריתה
שקדים + שקד שלישי + כפתורים
לשון - כריתת הממברנה (הפרדה)
שקדים + כפתורים
עור התוף - השתלה/תיקון
שקדים - כריתה
שקד שלישי - כריתה
סינוס - ניתוח אנדוסקופי
כפתורים
גרון לרינגוסקופיה +  - הוצאת גוש
קונכיות האף - ניתוח
צוואר - הוצאת ציסטה
",,
סגייה עמנואל,True,"בקע - הרניה ילדים דו""צ עד גיל 15
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
",,
יחיאל שויד,,,True,"כירורגית  ילדים
"
לבנשטיין ליאור,True,"רחם - כריתת גוש בחתך (מיומה)
נרתיק - כריתת שרירן בחתך
רחם - כ. נרתיקית + פלסטיקה + TVT
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
שחלה - כריתת ציסטה בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
וסטיבולקטומי - תיקון
לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רצפת אגן קדמי/אחורי - תיקון
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
לפרוסקופיה ניתוחית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רצפת אגן קדמי/אחורי - תיקון
רצפת אגן - תיקון מלא
רחם היסטרוסקופיה גרידה + פוליפ
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
לפרוסקופיה ניתוחית
נרתיק - פלסטיקה קדמית ואחורית
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
שחלה - כריתת ציסטה בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
שחלה - כריתת ציסטה בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
נרתיק - פלסטיקה אחורית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
צוואר הרחם - קשירה
וסטיבולקטומי - תיקון
לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כריתה נרתיקית בחתך
",,
לנג אלון,True,"קולונוסקופיה
גאסטרוסקופיה
קולונוסקופיה
גאסטרוסקופיה
גאסטרוסקופיה
קולונוסקופיה
גאסטרוסקופיה
",True,"דרכי עיכול(גסטרואנטריולוגיה,גסטרו)
דרכי עיכול(גסטרואנטריולוגיה,גסטרו)
דרכי עיכול(גסטרואנטריולוגיה,גסטרו)
"
יניב אבנר,,,True,"אף אוזן גרון
"
זכות דוד,True,"רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
",,
יחזקאל מנשה,,,True,"גניקולוגיה
גניקולוגיה
"
חזן אלאן,True,"אוזן - כריתת ציסטה מהתעלה
שקדים עם אלקטרודה +  + ש.שלישי
המסטואיד / סטפדקטומי
עור התוף - השתלה/תיקון
אף - תיקון מחיצה + קונכיות
אף - שחזור שסתומי האף
עור התוף - השתלה/תיקון
סינוס - ניתוח אנדוסקופי
קונכיות האף - ניתוח
סינוס אנדוסקופי + מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה + קונכיות
סינוס - ניתוח אנדוסקופי
אף - תיקון מחיצה
גרון לרינגוסקופיה +  - הוצאת גוש
קונכיות האף - ניתוח
סינוס אנדוסקופי + מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה + קונכיות
אף - שחזור שסתומי האף
עור התוף - השתלה/תיקון
סינוס - ניתוח אנדוסקופי
קונכיות האף - ניתוח
סינוס אנדוסקופי + מחיצה + קונכיות
עור התוף - השתלה/תיקון
קלדוואל - לוק - ניתוח
שקדים - כריתה
סינוס - ניתוח אנדוסקופי
כפתורים
גרון לרינגוסקופיה +  - הוצאת גוש
קונכיות האף - ניתוח
סינוס אנדוסקופי + מחיצה + קונכיות
שקד שלישי + כפתורים - כריתה
אף - תיקון מחיצה + קונכיות
",True,"אף אוזן גרון
"
ראט אהוד,True,"כתף - אקרומיופלסטי + R.C + ACJ
ברך - שחזור רצועות
ברך ארטרוסקופיה טיפולי/אבחנתי
כתף - ארט' ניתוחי - סובאקרומיאלי
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
ברך - שחזור רצועות
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - החלפת מפרק
ברך - שחזור רצועות
הוצאת ברגים/מסמרים
ירך - ארטרוסקופיה טיפולית
קרסול - שחזור רצועות
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
ברך - שחזור רצועות
",True,"אורתופדיה
"
סימון קרלוס,True,"קולונוסקופיה
גאסטרוסקופיה
גסטרו / קולונוסקופיה + ביופסיה
",,
חביב ברק,True,"ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
רגל - תיקון קרע גיד
ברך - שחזור רצועות
מפרקים - החלפה חלקית
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
רגל/יד - קיבוע ע""י פלטות
רגל - תיקון קרע גיד
ברך - שחזור רצועות
מפרקים - החלפה חלקית
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
",,
דוד חסדאי,,,True,"צינתורים,רדיולוגיה פולשנית
"
אברהם וינברג,,,True,"כירורגיה פלסטית
"
אנגלשטיין דב יוסף,True,"ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
ערמונית - פרוסטטה רדיקלית בחתך
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
פין - תיקון ברית
כליה - כריתה מלאה בחתך
שופכה - ניתוח דרך ציסטוסקופ
כליה/שופכן - הוצאת אבנים/אורטרוס
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
ערמונית - פרוסטטה רדיקלית בחתך
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
פין - תיקון ברית
אשך - כריתה והשתלת תותב
כליה - כריתה מלאה בחתך
שופכה - ניתוח דרך ציסטוסקופ
כליה/שופכן - הוצאת אבנים/אורטרוס
פין - ניתוח להשתלת תותב
ערמונית - פרוסטטה סגורה + הרניה מפ
כליה/שופכן - ריסוק אבנים בלייזר
ציסטוסקופיה בהרדמה לביופסיה
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
ערמונית - פרוסטטה רדיקלית בחתך
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
פין - תיקון ברית
פין - תיקון עקמת
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
שלפוחית השתן - הוצאת אבנים
פין - היפוספדיאס - תיקון קשה
פין - ניתוח להשתלת תותב
ערמונית - פרוסטטה סגורה + הרניה מפ
כליה/שופכן - ריסוק אבנים בלייזר
ציסטוסקופיה בהרדמה לביופסיה
",,
אבירם ניסן,,,True,"כירורגיה   כללית
"
פלדברין זאב,True,"כף יד/רגל - הוצאת גנגיליון
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
הוצאת גוש
רגל - תיקון קרע גיד
האלוס ואלגוס + אצבע פטישנית
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
יד - איחוי עצמות
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
הוצאת גוש
רגל - תיקון קרע גיד
האלוס ואלגוס + אצבע פטישנית
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
יד - איחוי עצמות
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
הוצאת גוש
",,
קרושינסקי מוטי,True,"מפרק ברך/ירך - השתלה מלאה
",,
שאול רון,True,"קולונוסקופיה
גאסטרוסקופיה
גסטרו / קולונוסקופיה + ביופסיה
קולונוסקופיה
גאסטרוסקופיה
גסטרו / קולונוסקופיה + ביופסיה
",,
לביא יובל,True,"רחם - כריתה בטנית
רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
",,
טוגנדרייך דניאל,True,"רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
רחם היסטרוסקופיה גרידה + פוליפ
",True,"גניקולוגיה
"
אנטוניו ריינה,,,True,"כירורגית  כלי דם
"
בר מאיר ערן,True,"שד אחד - שחזור אונקופלסטי
שד - הזרקת שומן להשלמה לשחזור שד
שד - שחזור (שתל סיליקון)
שד - שיחזור פיטמה ועטרה
שדיים - שחזור דו צדדי
שד 1 - התאמת גודל עקב מצב רפואי
שד - שחזור רקמות(TRUM)הרמת דופן
שד - החלפת שתל
שחזור שד חד צדדי עם אלודרם
שחזור שד דו""צ עם אלודרם
שד - שחזור (שתל סיליקון)
שדיים - שחזור דו צדדי
שד - החלפת שתל
שד - שחזור (שתל סיליקון)
שד - כריתה ושחזור סיליקון
שד - שיחזור פיטמה ועטרה
שדיים - שחזור דו צדדי
שדיים - שחזור דו צדדי
שד - החלפת שתל
שד - שחזור (שתל סיליקון)
שד - כריתה ושחזור סיליקון
שד - שיחזור פיטמה ועטרה
שדיים - שחזור דו צדדי
שד 1 - התאמת גודל עקב מצב רפואי
שדיים - התאמת גודל עקב מצב רפואי
שד - שחזור רקמות(TRUM)הרמת דופן
שד - החלפת שתל
",True,"כירורגיה פלסטית
"
פיש אלכסנדר,True,"גאסטרוסקופיה
קולונוסקופיה
גאסטרוסקופיה
קולונוסקופיה
גאסטרוסקופיה
גאסטרוסקופיה
",True,"דרכי עיכול(גסטרואנטריולוגיה)
"
אהוד ליבוביץ,,,True,"עיניים
"
קורנגרין עמיר,True,"כף יד/רגל - הוצאת גנגיליון
אצבע הדק
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
הוצאת גוש
כף רגל - ניתוח לתיקון שבר
הוצאת ברגים/מסמרים
תיקון שבר עצמות ארוכות
קיבוע פנימי של עצם האמה המרוחק
כתף - תיקון שבר פתוח בראש הזרוע
כף יד/רגל - שחזור/קבוע בורג/שתיל
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
ברך ארטרוסקופיה טיפולי/אבחנתי
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
הוצאת גוש
יד - דופיטרן פשוט
כתף - אקרומיופלסטי + R.C + ACJ
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף רגל - ניתוח לתיקון שבר
הוצאת ברגים/מסמרים
תיקון שבר עצמות ארוכות
קיבוע פנימי של עצם האמה המרוחק
כתף - תיקון שבר פתוח בראש הזרוע
כף יד/רגל - שחזור/קבוע בורג/שתיל
",,
קרוגליאק פבל,True,"קולונוסקופיה
גאסטרוסקופיה
",,
גילת חנה,True,"שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
בלוטת הרוק - אנדוסקופיה חד /דו""צ
בלוטת רוק - אנדוסקופי להוצאת אבן
אף - תיקון מחיצה + קונכיות + ש.שלישי
בלוטת יותרת המגן - כריתה
שקדים - כריתה
בלוטת הרוק - פרוטיס - כריתה
בלוטת הרוק - תת ליסתית - כריתה
שקדים + שקד שלישי + כפתורים
אף - תיקון מחיצה + קונכיות
שקדים + שקד שלישי
שקדים + תיקון מחיצת אף
שקדים + שקד שלישי + קונכיות
שקדים + שקד שלישי + תיקון מחיצה
לשון - כריתת הממברנה (הפרדה)
שקדים - כריתה
שקד שלישי - כריתה
בלוטת המגן - כריתה מלאה / חלקית
כפתורים
אף - תיקון מחיצה
שקדים + ש.שלישי + כפת' + גוש + קונכיות
גרון לרינגוסקופיה +  - הוצאת גוש
קונכיות האף - ניתוח
שקד שלישי + כפתורים - כריתה
בלוטת הרוק - פרוטיס - כריתה
בלוטת הרוק - אנדוסקופיה חד /דו""צ
בלוטת רוק - אנדוסקופי להוצאת אבן
אף - תיקון מחיצה + קונכיות + ש.שלישי
בלוטת יותרת המגן - כריתה
שקדים - כריתה
שקד שלישי - כריתה
בלוטת המגן - כריתה מלאה / חלקית
כפתורים
אף - תיקון מחיצה
שקדים + ש.שלישי + כפת' + גוש + קונכיות
שקדים + שקד שלישי + קונכיות
שקדים + שקד שלישי + תיקון מחיצה
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
בלוטת הרוק - אנדוסקופיה חד /דו""צ
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
בלוטת הרוק - אנדוסקופיה חד /דו""צ
בלוטת רוק - אנדוסקופי להוצאת אבן
אף - תיקון מחיצה + קונכיות + ש.שלישי
שקדים + שקד שלישי
שקדים + תיקון מחיצת אף
שקדים + שקד שלישי + קונכיות
שקדים + שקד שלישי + תיקון מחיצה
לשון - כריתת הממברנה (הפרדה)
קונכיות + שקד שלישי
שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
",,
בנקוביץ ואדים,True,"מפרק ברך/ירך - השתלה מלאה
מפרק ברך/ירך - השתלה מלאה
מפרק ברך/ירך - השתלה מלאה
מפרק ברך/ירך - השתלה מלאה
",,
אבו עביד סובחי,True,"כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
החלפת פורט (טבעת לקיצור קיבה)
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
מיני מעקף קיבה
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
החלפת פורט (טבעת לקיצור קיבה)
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
מיני מעקף קיבה
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - לפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
מפשעה - כריתת גוש
",,
אורנה גייר,,,True,"עיניים
עיניים
"
